date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:09:58	1125/1125	---MCZ	200	added ('OK')	application/javascript	etag:W/%226344d637-465%22	https://cdn.botble.com/vendor/core/plugins/language/js/language-public.js?v=1.0.0	D:/Demo-DACS2/cdn.botble.com/vendor/core/plugins/language/js/language-publice209.js	(from https://hasa.botble.com/vi/login)
14:09:59	44342/44342	---MCZ	200	added ('OK')	application/javascript	etag:W/%226344d596-ad36%22	https://cdn.botble.com/themes/september/plugins/owl-carousel/js/owl.carousel.min.js	D:/Demo-DACS2/cdn.botble.com/themes/september/plugins/owl-carousel/js/owl.carousel.min.js	(from https://hasa.botble.com/vi/login)
14:10:00	21002/21002	---MCZ	200	added ('OK')	text/html	date:Tue,%2011%20Oct%202022%2007:09:59%20GMT	https://hasa.botble.com/cookie-policy	D:/Demo-DACS2/hasa.botble.com/cookie-policy.html	(from https://hasa.botble.com/vi/login)
14:10:01	12332/12332	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263401421-302c%22	https://hasa.botble.com/cdn-cgi/scripts/7d0fa10a/cloudflare-static/rocket-loader.min.js	D:/Demo-DACS2/hasa.botble.com/cdn-cgi/scripts/7d0fa10a/cloudflare-static/rocket-loader.min.js	(from https://hasa.botble.com/vi/login)
14:10:01	325/325	---MC-	302	error ('Found')	text/html	date:Tue,%2011%20Oct%202022%2007:10:00%20GMT	https://hasa.botble.com/en/wishlist	D:/Demo-DACS2/hasa.botble.com/en/wishlist	(from https://hasa.botble.com/vi/wishlist)
14:10:02	0/-1	---M--	302	error ('')			https://hasa.botble.com/vi/currency/switch/USD	D:/Demo-DACS2/hasa.botble.com/vi/currency/switch/USD.4e.delayed	(from https://hasa.botble.com/vi/wishlist)
14:10:02	19997/19997	---MCZ	200	added ('OK')	text/html	date:Tue,%2011%20Oct%202022%2007:10:02%20GMT	https://hasa.botble.com/wishlist	D:/Demo-DACS2/hasa.botble.com/wishlist.html	(from https://hasa.botble.com/vi/wishlist)
14:10:03	334/334	---MC-	302	error ('Found')	text/html	date:Tue,%2011%20Oct%202022%2007:10:02%20GMT	https://hasa.botble.com/vi/currency/switch/EUR	D:/Demo-DACS2/hasa.botble.com/vi/currency/switch/EUR	(from https://hasa.botble.com/vi/wishlist)
14:10:04	334/334	---MC-	302	error ('Found')	text/html	date:Tue,%2011%20Oct%202022%2007:10:03%20GMT	https://hasa.botble.com/vi/currency/switch/VND	D:/Demo-DACS2/hasa.botble.com/vi/currency/switch/VND	(from https://hasa.botble.com/vi/wishlist)
14:10:05	334/334	---MC-	302	error ('Found')	text/html	date:Tue,%2011%20Oct%202022%2007:10:04%20GMT	https://hasa.botble.com/vi/currency/switch/RUB	D:/Demo-DACS2/hasa.botble.com/vi/currency/switch/RUB	(from https://hasa.botble.com/vi/wishlist)
14:10:05	0/-1	---M--	302	error ('')			https://hasa.botble.com/vi/currency/switch/USD	D:/Demo-DACS2/hasa.botble.com/vi/currency/switch/USD.52.delayed	(from https://hasa.botble.com/vi/wishlist)
14:10:08	334/334	---MC-	302	error ('Found')	text/html	date:Tue,%2011%20Oct%202022%2007:10:04%20GMT	https://hasa.botble.com/vi/currency/switch/EUR	D:/Demo-DACS2/hasa.botble.com/vi/currency/switch/EUR	(from https://hasa.botble.com/vi/wishlist)
14:10:08	334/334	---MC-	302	error ('Found')	text/html	date:Tue,%2011%20Oct%202022%2007:10:07%20GMT	https://hasa.botble.com/vi/currency/switch/VND	D:/Demo-DACS2/hasa.botble.com/vi/currency/switch/VND	(from https://hasa.botble.com/vi/wishlist)
14:10:08	334/334	---MC-	302	error ('Found')	text/html	date:Tue,%2011%20Oct%202022%2007:10:08%20GMT	https://hasa.botble.com/vi/currency/switch/RUB	D:/Demo-DACS2/hasa.botble.com/vi/currency/switch/RUB	(from https://hasa.botble.com/vi/wishlist)
14:10:09	321/321	---MC-	302	error ('Found')	text/html	date:Tue,%2011%20Oct%202022%2007:10:08%20GMT	https://hasa.botble.com/en/compare	D:/Demo-DACS2/hasa.botble.com/en/compare	(from https://hasa.botble.com/vi/compare)
14:10:09	0/-1	---M--	302	error ('')			https://hasa.botble.com/vi/currency/switch/USD	D:/Demo-DACS2/hasa.botble.com/vi/currency/switch/USD.58.delayed	(from https://hasa.botble.com/vi/compare)
14:10:09	19767/19767	---MCZ	200	added ('OK')	text/html	date:Tue,%2011%20Oct%202022%2007:10:09%20GMT	https://hasa.botble.com/compare	D:/Demo-DACS2/hasa.botble.com/compare.html	(from https://hasa.botble.com/vi/compare)
14:10:10	330/330	---MC-	302	error ('Found')	text/html	date:Tue,%2011%20Oct%202022%2007:10:09%20GMT	https://hasa.botble.com/vi/currency/switch/EUR	D:/Demo-DACS2/hasa.botble.com/vi/currency/switch/EUR	(from https://hasa.botble.com/vi/compare)
14:10:10	330/330	---MC-	302	error ('Found')	text/html	date:Tue,%2011%20Oct%202022%2007:10:10%20GMT	https://hasa.botble.com/vi/currency/switch/VND	D:/Demo-DACS2/hasa.botble.com/vi/currency/switch/VND	(from https://hasa.botble.com/vi/compare)
14:10:11	330/330	---MC-	302	error ('Found')	text/html	date:Tue,%2011%20Oct%202022%2007:10:10%20GMT	https://hasa.botble.com/vi/currency/switch/RUB	D:/Demo-DACS2/hasa.botble.com/vi/currency/switch/RUB	(from https://hasa.botble.com/vi/compare)
